,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Consumer,14.0,0.544433,116.60618000000001,17.0,0.0,171.0263,14.0,0.0,116.60618000000001,16.0,0.0,87.05171,14.0,0.0,281.76052999999996
Consumer,13.0,1.0,289.99484,13.0,0.64788073,121.37957,14.0,0.50581104,289.99484,14.0,0.0,230.07825,10.0,1.0,289.99484
LazyConsumer,15.0,0.0,125.25175,16.0,0.0,160.11246,17.0,0.0,127.95312,14.0,0.0,211.65302000000003,17.0,0.0,127.95312
EcologicalConsumer,15.0,0.544433,109.03669,17.0,0.0,237.03375,15.0,0.0,109.03669,14.0,0.544433,113.14591999999999,14.0,0.544433,237.03375
LazyConsumer,13.0,0.0,114.03947,15.0,0.0,157.54363999999998,13.0,0.544433,104.0,13.0,0.0,159.20113,15.0,0.0,157.54363999999998
LazyConsumer,17.0,0.0,129.84991000000002,17.0,0.0,129.84991000000002,17.0,0.0,167.40968,17.0,0.544433,129.84991000000002,14.0,0.544433,113.99123
EcologicalConsumer,13.0,0.0,177.10166999999998,15.0,0.0,123.22336999999999,16.0,0.0,93.193344,13.0,0.0,286.5589,15.0,0.0,123.22336999999999
Consumer,14.0,0.0,115.1043,16.0,0.0,276.9278,14.0,0.0,115.1043,16.0,0.0,276.9278,16.0,0.0,115.1043
Consumer,16.0,0.0,175.51353,14.0,0.544433,142.27438,17.0,0.0,104.21611999999999,17.0,0.0,127.349915,16.0,0.544433,104.21611999999999
EcologicalConsumer,13.0,0.0,156.20498999999998,12.0,0.8843495000000001,115.62438999999999,15.0,0.0,130.0,16.0,0.0,173.62315,17.0,0.0,118.072014
LazyConsumer,16.0,0.0,206.63011,14.0,0.0,121.37957,15.0,0.544433,206.63011,16.0,0.0,98.731964,14.0,0.544433,121.37957
Consumer,13.0,0.0,119.03781000000001,15.0,0.0,159.61516,13.0,0.544433,112.04016999999999,13.0,0.0,119.03781000000001,13.0,0.0,166.23477
LazyConsumer,14.0,0.0,171.01169,14.0,0.0,114.05701,17.0,0.0,133.14653,16.0,0.0,224.61522000000002,17.0,0.0,114.05701
Consumer,17.0,0.0,157.20686,17.0,0.544433,216.66795,14.0,0.544433,330.79602,16.0,0.0,270.62335,15.0,0.544433,110.47623999999999
Consumer,17.0,0.0,110.02273000000001,14.0,0.544433,129.07362,17.0,0.0,110.47623999999999,14.0,0.0,147.75656,14.0,0.0,129.07362
EcologicalConsumer,17.0,0.0,103.57606,14.0,0.0,152.30562,14.0,0.0,128.31601,16.0,0.0,203.0665,15.0,0.544433,152.30562
EcologicalConsumer,14.0,0.0,95.85927,15.0,0.544433,189.89733999999999,16.0,0.0,246.84002999999998,15.0,0.0,189.89733999999999,16.0,0.0,246.84002999999998
EcologicalConsumer,16.0,0.544433,99.92497,16.0,0.544433,99.92497,13.0,0.544433,144.04514,15.0,0.0,102.61579,13.0,0.544433,244.23349
