,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
LazyConsumer,13.0,0.0,111.040535,14.0,0.0,111.503365,13.0,0.0,111.040535,15.0,0.0,86.05231,13.0,0.0,156.15697
Consumer,13.0,0.0,216.67487,16.0,0.0,89.0,16.0,0.0,282.66058,13.0,0.0,216.67487,15.0,0.0,158.09175
Consumer,14.0,0.55946237,274.93454,16.0,0.0,113.20777,14.0,0.55946237,274.93454,14.0,0.55946237,213.77559,14.0,0.55946237,113.20777
EcologicalConsumer,13.0,0.0,88.23265,14.0,0.0,137.64447,13.0,0.0,88.23265,16.0,0.0,190.96072,16.0,0.0,190.96072
Consumer,13.0,0.0,279.50134,11.0,0.9218179,119.03781,15.0,0.0,218.69156,16.0,0.0,345.974,13.0,0.0,279.50134
EcologicalConsumer,13.0,0.0,253.69273,13.0,0.0,319.87653,14.0,0.55946237,144.95862,14.0,0.0,144.95862,16.0,0.0,193.99226
EcologicalConsumer,15.0,0.0,309.01132,16.0,0.0,102.83968,16.0,0.0,184.22812,16.0,0.55946237,102.83968,14.0,0.0,309.01132
EcologicalConsumer,11.0,0.9218179,97.16995,13.0,0.5861402,191.85933,12.0,0.76409525,97.16995,16.0,0.0,140.26404,13.0,0.0,252.81021
Consumer,14.0,0.55946237,221.81975,15.0,0.55946237,158.09175,14.0,0.55946237,108.40664,14.0,0.55946237,221.81975,15.0,0.0,158.09175
EcologicalConsumer,13.0,0.0,125.992065,13.0,0.0,134.4656,13.0,0.0,134.4656,11.0,0.9218179,125.992065,14.0,0.0,93.00538
Consumer,13.0,0.0,136.0294,14.0,0.0,99.62429,13.0,0.0,136.0294,14.0,0.0,99.62429,15.0,0.0,96.00521
Consumer,15.0,0.0,218.69156,13.0,0.0,119.03781,14.0,0.0,166.331,13.0,0.0,279.50134,15.0,0.0,218.69156
EcologicalConsumer,15.0,0.0,135.05925,16.0,0.0,252.71526,13.0,0.0,188.30826,15.0,0.0,135.05925,13.0,0.0,188.30826
Consumer,16.0,0.55946237,225.03555,15.0,0.0,94.19129,14.0,0.55946237,94.19129,15.0,0.0,117.61378,14.0,0.55946237,225.03555
EcologicalConsumer,11.0,0.9218179,105.3423,14.0,0.3990768,253.69273,13.0,0.65429753,105.3423,16.0,0.0,193.99226,16.0,0.0,144.95862
Consumer,13.0,0.0,195.49425,15.0,0.0,138.00362,16.0,0.55946237,138.00362,16.0,0.0,261.27573,16.0,0.0,86.58522
Consumer,14.0,0.0,160.86018,15.0,0.0,213.77559,16.0,0.55946237,213.77559,14.0,0.0,160.86018,16.0,0.0,341.526
Consumer,14.0,0.0,101.4002,16.0,0.0,156.02884,14.0,0.55946237,101.4002,14.0,0.0,101.4002,16.0,0.0,110.788086
LazyConsumer,15.0,0.0,91.18114,16.0,0.0,192.42142,11.0,0.0,131.7953,14.0,0.0,96.79876,13.0,0.55946237,131.13733
Consumer,14.0,0.55946237,166.82027,14.0,0.55946237,119.03781,14.0,0.0,119.03781,14.0,0.0,166.82027,14.0,0.0,117.34564
LazyConsumer,16.0,0.0,86.05231,16.0,0.0,111.040535,16.0,0.0,86.05231,16.0,0.0,156.15697,15.0,0.55946237,111.040535
EcologicalConsumer,12.0,0.0,102.83968,15.0,0.0,184.22812,13.0,0.0,243.07407,13.0,0.0,102.83968,13.0,0.0,243.07407
Consumer,14.0,0.0,92.417534,13.0,0.0,239.92708,14.0,0.0,92.417534,16.0,0.0,97.06184,13.0,0.0,239.92708
Consumer,15.0,0.0,102.88343,15.0,0.0,91.78235,13.0,0.55946237,102.88343,15.0,0.0,91.78235,13.0,0.0,102.88343
Consumer,14.0,0.0,120.0,15.0,0.0,90.199776,16.0,0.0,163.37686,14.0,0.0,120.0,14.0,0.0,120.0
EcologicalConsumer,13.0,0.0,92.22798,14.0,0.0,175.5705,15.0,0.0,121.08262,13.0,0.0,92.22798,14.0,0.0,175.5705
Consumer,14.0,0.0,123.69317,14.0,0.0,237.0654,14.0,0.0,237.0654,15.0,0.0,173.62315,14.0,0.55946237,237.0654
Consumer,13.0,1.0,138.00362,14.0,0.3990768,195.49425,15.0,0.0,98.83825,15.0,0.55946237,138.00362,13.0,0.55946237,195.49425
Consumer,14.0,0.0,215.1883,14.0,0.55946237,92.0489,15.0,0.0,157.29272,14.0,0.55946237,157.29272,14.0,0.55946237,92.0489
EcologicalConsumer,16.0,0.0,130.0,16.0,0.0,221.81975,13.0,0.55946237,130.0,16.0,0.55946237,99.0,13.0,0.0,130.0
LazyConsumer,16.0,0.0,196.35173,14.0,0.0,130.29965,16.0,0.0,196.35173,14.0,0.0,130.29965,15.0,0.55946237,86.58522
Consumer,14.0,0.0,109.201645,13.0,0.55946237,143.62799,14.0,0.0,109.201645,13.0,0.55946237,134.38005,14.0,0.0,109.201645
Consumer,16.0,0.0,143.83672,14.0,0.0,102.83968,13.0,0.0,204.79257,16.0,0.0,131.59027,13.0,0.0,204.79257
Consumer,11.0,0.9218179,249.3692,13.0,1.0,137.90215,14.0,0.0,104.40307,15.0,0.0,193.0518,16.0,0.0,118.595955
Consumer,15.0,0.0,213.77559,13.0,0.0,274.93454,14.0,0.0,160.86018,13.0,0.0,274.93454,15.0,0.0,213.77559
Consumer,13.0,0.0,177.7892,16.0,0.0,113.14592,16.0,0.0,241.11823,14.0,0.0,106.06602,15.0,0.55946237,177.7892
LazyConsumer,14.0,0.55946237,137.36084,14.0,0.0,110.16351,14.0,0.0,137.36084,14.0,0.0,110.16351,14.0,0.55946237,137.36084
LazyConsumer,15.0,0.0,151.43315,16.0,0.0,111.39569,16.0,0.55946237,215.1116,15.0,0.0,151.43315,17.0,0.0,89.20202
EcologicalConsumer,14.0,0.55946237,87.36132,14.0,0.55946237,184.22812,14.0,0.0,87.36132,14.0,0.0,87.36132,15.0,0.55946237,123.79418
EcologicalConsumer,15.0,0.55946237,88.32327,14.0,0.0,127.98828,13.0,0.55946237,95.707886,14.0,0.0,127.98828,15.0,0.0,88.32327
Consumer,11.0,0.9218179,92.0489,13.0,0.5861402,157.29272,16.0,0.0,114.82596,12.0,0.0,92.0489,12.0,0.0,92.0489
Consumer,13.0,0.0,143.40501,15.0,0.0,86.88498,14.0,0.0,102.88343,13.0,0.55946237,120.21647,14.0,0.55946237,102.88343
EcologicalConsumer,14.0,0.55946237,94.36631,14.0,0.55946237,186.13167,14.0,0.0,94.36631,15.0,0.55946237,127.349915,14.0,0.55946237,94.36631
Consumer,15.0,0.0,212.13203,15.0,0.0,156.84706,15.0,0.55946237,212.13203,14.0,0.0,119.85408,15.0,0.0,156.84706
LazyConsumer,15.0,0.55946237,83.48653,14.0,0.0,105.68822,13.0,0.55946237,112.60995,15.0,0.0,83.48653,16.0,0.0,149.51254
Consumer,14.0,0.0,229.43626,13.0,0.81735355,229.43626,16.0,0.0,110.6752,17.0,0.0,97.18539,15.0,0.0,165.85536
LazyConsumer,14.0,0.0,163.13492,15.0,0.55946237,222.17111,14.0,0.55946237,163.13492,15.0,0.0,222.17111,14.0,0.0,163.13492
LazyConsumer,15.0,0.0,104.84751,13.0,0.0,89.453896,13.0,0.0,209.33466,14.0,0.0,154.80634,13.0,0.55946237,209.33466
EcologicalConsumer,13.0,0.0,134.4656,16.0,0.55946237,91.706055,14.0,0.0,93.00538,16.0,0.0,196.59604,16.0,0.0,125.992065
EcologicalConsumer,15.0,0.0,118.15244,13.0,0.0,99.0,14.0,0.0,168.0476,13.0,0.0,99.0,14.0,0.0,168.0476
EcologicalConsumer,13.0,0.55946237,88.23265,13.0,0.0,190.96072,13.0,0.0,88.23265,13.0,0.0,190.96072,15.0,0.0,91.706055
Consumer,16.0,0.55946237,203.0665,16.0,0.0,203.0665,14.0,0.0,268.26294,16.0,0.0,147.12239,14.0,0.0,268.26294
Consumer,13.0,0.0,234.77649,16.0,0.0,300.9136,16.0,0.0,94.72592,13.0,0.55946237,300.9136,13.0,0.0,234.77649
Consumer,16.0,0.0,173.62315,14.0,0.55946237,102.70345,13.0,0.0,237.0654,16.0,0.0,173.62315,16.0,0.0,173.62315
EcologicalConsumer,16.0,0.0,160.89748,17.0,0.0,116.498924,14.0,0.0,90.0,14.0,0.55946237,112.41441,16.0,0.0,168.0476
EcologicalConsumer,16.0,0.0,252.71526,14.0,0.0,105.36128,15.0,0.0,135.05925,16.0,0.0,252.71526,14.0,0.0,105.36128
EcologicalConsumer,15.0,0.0,149.40215,14.0,0.0,209.99524,15.0,0.0,149.40215,16.0,0.0,133.30417,14.0,0.0,209.99524
LazyConsumer,14.0,0.55946237,110.06362,13.0,0.0,106.25441,15.0,0.0,140.00714,16.0,0.0,257.15753,13.0,0.0,192.93782
Consumer,14.0,0.55946237,170.34377,13.0,0.0,86.833176,15.0,0.0,115.36464,14.0,0.0,170.34377,13.0,0.55946237,86.833176
EcologicalConsumer,16.0,0.0,87.36132,16.0,0.0,99.31767,13.0,0.0,123.79418,14.0,0.0,99.31767,13.0,0.55946237,123.79418
EcologicalConsumer,15.0,0.0,84.92938,14.0,0.0,117.388245,15.0,0.55946237,84.92938,14.0,0.55946237,117.388245,15.0,0.0,84.92938
LazyConsumer,16.0,0.0,86.46965,14.0,0.55946237,158.52129,14.0,0.0,86.46965,14.0,0.0,158.52129,15.0,0.0,104.00961
LazyConsumer,15.0,0.0,185.80904,16.0,0.0,312.18744,13.0,0.0,245.86176,14.0,0.0,136.47343,13.0,0.0,245.86176
LazyConsumer,14.0,0.0,83.48653,14.0,0.0,171.14322,14.0,0.0,171.14322,15.0,0.0,112.60995,14.0,0.0,83.48653
EcologicalConsumer,13.0,0.0,128.22246,14.0,0.0,96.93297,13.0,0.0,133.41664,13.0,0.0,128.22246,13.0,0.0,133.41664
Consumer,13.0,0.55946237,212.13203,14.0,0.0,119.85408,15.0,0.0,156.84706,13.0,0.0,212.13203,13.0,0.0,103.69667
Consumer,16.0,0.0,148.22281,13.0,0.55946237,179.49373,14.0,0.0,107.82393,16.0,0.0,121.08262,13.0,0.0,179.49373
Consumer,12.0,0.0,151.20847,13.0,0.55946237,119.85408,12.0,0.0,151.20847,15.0,0.0,90.79648,13.0,0.0,119.85408
Consumer,11.0,0.9218179,103.44564,14.0,0.3990768,264.42767,13.0,0.65429753,103.44564,13.0,0.0,264.42767,16.0,0.0,150.08331
Consumer,16.0,0.55946237,246.22145,15.0,0.55946237,246.22145,16.0,0.0,104.54664,16.0,0.0,104.54664,14.0,0.0,312.16983
LazyConsumer,15.0,0.0,241.04979,16.0,0.0,106.437775,14.0,0.0,241.04979,16.0,0.0,177.01978,16.0,0.0,106.437775
LazyConsumer,14.0,0.55946237,132.54811,13.0,0.0,105.11898,14.0,0.0,132.54811,16.0,0.0,154.87091,13.0,0.0,105.11898
Consumer,13.0,0.55946237,177.73013,14.0,0.0,120.06665,13.0,0.0,177.73013,13.0,0.0,177.73013,14.0,0.0,120.06665
Consumer,13.0,0.0,96.93297,15.0,0.0,93.92018,13.0,0.0,185.80904,15.0,0.0,93.92018,15.0,0.0,93.92018
EcologicalConsumer,13.0,0.55946237,84.92938,14.0,0.0,173.90802,15.0,0.0,117.388245,16.0,0.0,107.33126,14.0,0.0,173.90802
LazyConsumer,15.0,0.0,89.28606,16.0,0.0,194.53792,17.0,0.0,141.22676,14.0,0.0,94.81033,16.0,0.0,133.79462
LazyConsumer,14.0,0.55946237,97.71899,14.0,0.55946237,97.71899,15.0,0.0,185.80904,14.0,0.0,245.86176,14.0,0.0,97.71899
Consumer,14.0,0.0,97.04638,15.0,0.0,110.67972,15.0,0.0,158.44557,15.0,0.0,110.67972,13.0,0.55946237,158.44557
Consumer,16.0,0.0,104.40307,15.0,0.0,118.595955,16.0,0.0,104.40307,14.0,0.0,118.595955,16.0,0.0,104.40307
Consumer,16.0,0.55946237,86.05231,16.0,0.55946237,218.23383,14.0,0.0,284.41696,15.0,0.55946237,218.23383,16.0,0.0,86.05231
EcologicalConsumer,13.0,0.55946237,159.4522,13.0,0.0,106.677086,14.0,0.55946237,124.47088,16.0,0.0,91.787796,16.0,0.0,91.787796
Consumer,16.0,0.0,90.199776,14.0,0.55946237,163.37686,15.0,0.55946237,109.0,14.0,0.0,163.37686,14.0,0.55946237,90.199776
EcologicalConsumer,13.0,0.0,195.61697,13.0,0.0,99.724625,15.0,0.0,140.92906,15.0,0.0,140.92906,16.0,0.0,260.4477
LazyConsumer,14.0,0.0,113.20777,15.0,0.55946237,97.18539,14.0,0.0,131.46863,15.0,0.0,97.18539,14.0,0.0,113.20777
Consumer,14.0,0.0,172.154,16.0,0.0,100.04499,14.0,0.55946237,172.154,15.0,0.55946237,119.03781,14.0,0.0,172.154
Consumer,11.0,0.9218179,122.61321,14.0,0.3990768,156.02884,13.0,0.0,122.61321,13.0,0.9562356,156.02884,12.0,0.36005268,122.61321
EcologicalConsumer,16.0,0.0,145.45447,16.0,0.55946237,145.45447,14.0,0.0,94.36631,14.0,0.55946237,127.349915,15.0,0.55946237,94.36631
Consumer,15.0,0.0,136.0294,15.0,0.0,136.0294,14.0,0.0,197.0609,14.0,0.55946237,96.00521,14.0,0.55946237,197.0609
Consumer,14.0,0.55946237,150.08331,13.0,0.0,331.1027,16.0,0.0,103.44564,16.0,0.0,264.42767,16.0,0.0,103.44564
EcologicalConsumer,16.0,0.0,102.83968,16.0,0.0,102.83968,15.0,0.55946237,243.07407,16.0,0.0,102.83968,14.0,0.0,309.01132
LazyConsumer,14.0,0.55946237,154.87091,14.0,0.55946237,154.87091,16.0,0.0,96.317184,14.0,0.0,154.87091,15.0,0.55946237,105.11898
Consumer,14.0,0.55946237,193.0518,16.0,0.0,137.90215,13.0,0.0,118.595955,16.0,0.0,249.3692,15.0,0.55946237,118.595955
LazyConsumer,16.0,0.0,156.15697,14.0,0.0,168.00298,16.0,0.0,86.05231,15.0,0.0,111.040535,14.0,0.0,86.05231
Consumer,14.0,0.55946237,122.67436,14.0,0.55946237,122.67436,15.0,0.55946237,94.19129,14.0,0.0,122.67436,14.0,0.55946237,117.61378
Consumer,14.0,0.0,284.41696,15.0,0.0,218.23383,14.0,0.0,159.0,15.0,0.55946237,218.23383,14.0,0.0,284.41696
EcologicalConsumer,15.0,0.0,149.40215,16.0,0.55946237,209.99524,15.0,0.0,149.40215,14.0,0.0,108.74741,17.0,0.0,107.07941
EcologicalConsumer,13.0,0.0,236.16309,16.0,0.0,301.77142,13.0,0.55946237,301.77142,14.0,0.0,134.20134,13.0,0.0,301.77142
EcologicalConsumer,16.0,0.0,101.51354,13.0,0.0,89.31965,15.0,0.0,128.5496,15.0,0.0,89.31965,15.0,0.0,128.5496
EcologicalConsumer,15.0,0.55946237,252.81021,15.0,0.55946237,252.81021,16.0,0.0,191.85933,14.0,0.55946237,319.39005,15.0,0.0,252.81021
EcologicalConsumer,13.0,0.0,96.04687,14.0,0.0,163.83528,13.0,0.0,217.79349,14.0,0.55946237,163.83528,13.0,0.0,217.79349
LazyConsumer,13.0,0.55946237,280.86475,14.0,0.0,119.20151,16.0,0.55946237,215.56438,13.0,0.0,280.86475,16.0,0.0,215.56438
LazyConsumer,13.0,0.55946237,133.79462,14.0,0.55946237,141.22676,13.0,0.0,133.79462,16.0,0.0,89.28606,16.0,0.0,194.53792
EcologicalConsumer,14.0,0.0,108.706024,15.0,0.0,147.61098,13.0,0.0,204.3771,16.0,0.55946237,147.61098,14.0,0.0,108.706024
Consumer,14.0,0.55946237,195.49425,16.0,0.0,86.58522,14.0,0.55946237,195.49425,14.0,0.55946237,138.00362,14.0,0.0,195.49425
Consumer,14.0,0.0,244.31128,16.0,0.0,99.31767,16.0,0.0,179.60234,16.0,0.0,99.31767,14.0,0.0,244.31128
LazyConsumer,13.0,0.0,177.01978,14.0,0.55946237,100.62306,13.0,0.0,106.437775,14.0,0.0,100.62306,13.0,0.0,177.01978
Consumer,14.0,0.0,105.38501,15.0,0.0,124.20145,13.0,0.0,172.86122,16.0,0.0,235.83469,16.0,0.0,115.97414
EcologicalConsumer,13.0,0.0,260.29214,16.0,0.0,142.84258,13.0,0.0,260.29214,16.0,0.0,196.02296,15.0,0.55946237,260.29214
Consumer,14.0,0.0,105.38501,13.0,0.55946237,115.97414,15.0,0.0,124.20145,13.0,0.0,172.86122,14.0,0.0,105.38501
EcologicalConsumer,13.0,1.0,167.27522,14.0,0.3990768,226.11943,11.0,0.9218179,92.43917,14.0,0.3990768,226.11943,15.0,0.0,121.82365
EcologicalConsumer,13.0,1.0,94.36631,13.0,0.9562356,127.349915,16.0,0.0,94.36631,16.0,0.0,107.837845,12.0,0.0,145.45447
LazyConsumer,14.0,0.55946237,280.86475,16.0,0.0,159.01257,14.0,0.0,280.86475,16.0,0.0,99.18165,14.0,0.0,159.01257
LazyConsumer,15.0,0.55946237,140.00714,15.0,0.55946237,140.00714,13.0,0.0,192.93782,14.0,0.0,110.06362,13.0,0.55946237,192.93782
EcologicalConsumer,14.0,0.0,309.01132,15.0,0.55946237,243.07407,14.0,0.0,309.01132,14.0,0.0,184.22812,14.0,0.9449836,309.01132
Consumer,16.0,0.0,175.96591,17.0,0.0,127.56175,15.0,0.0,102.88343,14.0,0.55946237,102.88343,15.0,0.0,91.78235
Consumer,13.0,0.0,154.31137,16.0,0.0,102.88343,15.0,0.55946237,154.31137,16.0,0.0,175.96591,16.0,0.55946237,91.78235
LazyConsumer,14.0,0.55946237,117.61378,13.0,0.0,222.17111,14.0,0.0,117.61378,13.0,0.0,89.20202,15.0,0.0,163.13492
Consumer,16.0,0.0,115.80155,13.0,0.0,221.47235,16.0,0.0,115.80155,16.0,0.0,158.44557,15.0,0.55946237,221.47235
EcologicalConsumer,13.0,0.0,204.3771,14.0,0.0,108.706024,13.0,0.0,93.214806,13.0,0.0,204.3771,11.0,0.9218179,93.214806
Consumer,15.0,0.0,215.1883,14.0,0.0,280.9573,15.0,0.55946237,215.1883,14.0,0.55946237,157.29272,14.0,0.55946237,280.9573
Consumer,11.0,0.9218179,99.31767,14.0,0.3990768,179.60234,13.0,0.65429753,99.31767,13.0,0.0,99.31767,13.0,0.9562356,179.60234
EcologicalConsumer,16.0,0.0,231.7585,13.0,0.55946237,107.33126,13.0,0.0,84.92938,13.0,0.0,107.33126,14.0,0.55946237,173.90802
